Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Pied-billed Grebe,1/1/16,2/14/16,2/15/16,3/23/16,3/24/16,5/14/16,5/15/16,7/23/16,7/24/16,9/7/16,9/8/16,11/30/16,12/1/16,12/31/16
Brown Pelican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double-crested Cormorant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Bittern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Least Bittern,1/1/16,3/31/16,4/1/16,4/23/16,4/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/23/16,9/24/16,10/31/16,11/1/16,12/31/16
Great Blue Heron,1/1/16,2/7/16,2/8/16,2/29/16,3/1/16,5/7/16,5/8/16,7/7/16,7/8/16,8/31/16,9/1/16,11/30/16,12/1/16,12/31/16
Great Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowy Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little Blue Heron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tricolored Heron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cattle Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Heron,1/1/16,3/14/16,3/15/16,4/14/16,4/15/16,5/31/16,6/1/16,7/31/16,8/1/16,9/14/16,9/15/16,10/31/16,11/1/16,12/31/16
Black-crowned Night-Heron,1/1/16,2/14/16,2/15/16,4/7/16,4/8/16,5/31/16,6/1/16,8/31/16,9/1/16,9/7/16,9/8/16,12/14/16,12/15/16,12/31/16
Yellow-crowned Night-Heron,1/1/16,3/14/16,3/15/16,3/31/16,4/1/16,4/23/16,4/24/16,7/31/16,8/1/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
White Ibis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossy Ibis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
